Id,First_phrase_measure,First_phrase_length
0001,6.0,5.5
0002,20.0,34.0
0003,2.0,6.5
0004,0.0,5.0
0005,11.0,11.0
0006,6.0,7.0
0007,10.0,14.0
0008,29.0,30.0
0009,0.0,23.0
0010,16.0,26.0
0011,0.0,43.0
0012,26.0,40.0
0013,9.5,13.5
0014,0.0,29.0
0015,23.0,21.0
0016,23.0,20.0
0017,0.0,28.0
0018,0.0,18.0
0019,0.0,28.5
0020,8.0,40.0
0021,0.0,60.0
0022,15.0,18.0
0023,4.0,5.5
0024,6.0,10.0
0025,0.0,8.0
0026,22.0,29.0
0027,12.0,20.0
0028,18.0,30.0
0029,0.0,14.0
0030,10.0,49.0
0031,0.0,30.0
0032,0.0,19.0
0033,29.0,37.0
0034,34.0,53.0
0035,0.0,35.0
0036,0.0,13.0
0037,17.0,39.0
0038,25.0,40.0
0039,0.0,36.0
0040,29.0,53.0
0041,25.0,44.0
0042,0.0,37.0
0043,22.0,18.0
0044,5.0,26.0
0045,19.0,25.0
0046,20.0,19.0
0047,27.0,39.0
0048,0.0,27.0
0049,14.0,34.0
0050,0.0,28.0
0051,22.0,36.0
0052,5.0,26.0
0053,20.0,46.0
0054,26.0,20.0
0055,16.0,17.0
0056,18.0,22.0
0057,11.0,12.0
0058,4.0,6.5
0059,11.0,10.0
0060,0.0,4.5
0061,13.0,11.0
0062,16.0,18.0
0063,19.0,20.0
0064,8.5,7.5
0065,11.0,12.0
0066,14.0,24.0
0067,11.0,10.5
0068,22.0,19.0
0069,12.0,12.0
0070,10.0,25.0
0071,35.0,26.0
0072,15.0,47.0
0073,21.0,22.0
0074,34.0,22.0
0075,9.0,16.5
0076,18.0,37.0
0077,0.0,15.0
0078,19.0,26.0
0079,2.0,18.0
0080,16.0,23.0
0081,10.0,13.0
0082,13.0,24.0
0083,5.0,15.0
0086,11.0,23.0
0087,25.0,27.0
0088,16.0,23.0
0089,20.0,24.0
0090,2.0,29.0
0091,19.0,16.0
0092,6.5,5.5
